,Company,Job_Title,Location,Salary,Job_Sedcription,URL
39,Facebook,"Data Scientist, Analytics","Menlo Park, CA",$108K-$174K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=1139178&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_baf5ddab&cb=1604500794086&jobListingId=3687677548
40,Arsenal Biosciences,"Scientist, Analytics - Process and Technical Development, Manufacturing","South San Francisco, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=1070179&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_fb03a8c8&cb=1604500794087&jobListingId=3539312905
41,Ngm Biopharmaceuticals,"Scientist, Discovery Biology","South San Francisco, CA",$65K-$134K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=975242&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_094dce5e&cb=1604500794088&jobListingId=3671995241
42,Kelly,Data Scientist,"Sunnyvale, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=1044072&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_210bac93&cb=1604500794089&jobListingId=3715438103
43,First Tech Federal Credit Union,Data Engineer - Master Data Management,"San Jose, CA",$78K-$146K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=1114238&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_7623de5a&cb=1604500794090&jobListingId=3730587771
44,Specific Diagnostics,"Data Transformation Engineer, Medical Diagnostics","Mountain View, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=213&ao=1044077&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ddb227f5&cb=1604500794090&jobListingId=3665485525
45,Roche,"Principal Bioinformatics Scientist II, Development","Pleasanton, CA",$132K-$202K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=1044074&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_b9d03e82&cb=1604500794091&jobListingId=3686125962
46,Earnin,"Senior Software Engineer, Data Infrastructure","Palo Alto, CA",$134K-$242K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=1137990&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2a08142d&cb=1604500794091&jobListingId=3620085283
47,Exelixis,Scientist II (Pharmacokinetics),"Alameda, CA",$74K-$150K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=876643&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_46251383&cb=1604500794091&jobListingId=3698005294
48,Arsenal Biosciences,Scientist - Synthetic Biology,"South San Francisco, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=1070179&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_473b8af7&cb=1604500794092&jobListingId=3644946398
49,BayArea101,Raman Spectroscopy Scientists,"San Jose, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=1044077&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a764bbb3&cb=1604500794092&jobListingId=3725452390
50,Waymo,"Data Scientist / Software Engineer, Planner","Mountain View, CA",$111K-$180K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=1006668&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_f2c97033&cb=1604500794092&jobListingId=3715182774
51,Confluent,Data Scientist - Growth and Marketing,"Mountain View, CA",$124K-$196K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=960268&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_9d028c67&cb=1604500794093&jobListingId=3637361485
52,Livongo,"Manager, Data Science - Growth Machine Learning","Mountain View, CA",$106K-$171K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1081613&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e4ba1740&cb=1604500794093&jobListingId=3553623919
53,Next Insurance,"Data Scientist, Analytics","Palo Alto, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=8095&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4b9cbf5a&cb=1604500794094&jobListingId=3674806484
54,GRAIL,Staff Clinical Scientist,"Menlo Park, CA",$50-$82 Per Hour(Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=827769&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_3e46af01&cb=1604500794094&jobListingId=3623444995
55,Spectra Infosystems,Entry Level Data Scientist,"San Mateo, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=4134&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_ce585c25&cb=1604500794095&jobListingId=3721713739
56,PPD,"Senior Scientist - GMP, Method Development , ELISA , Cell-Based Assay","South San Francisco, CA",$46K-$88K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=1044074&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_e3d26080&cb=1604500794095&jobListingId=3723331117
57,Google,"Data Scientist, Engineering","Mountain View, CA",$118K-$193K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=37049&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_c882502f&cb=1604500794096&jobListingId=3511711154
58,Facebook,Data Scientist,"Fremont, CA",$108K-$174K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=1139178&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_5198e8bc&cb=1604500794096&jobListingId=3680017675
59,Jazz Pharma,"Associate Director, Clinical Scientist – Transplant/Hematology","Palo Alto, CA",$145K-$250K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=1044074&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&cs=1_de374abc&cb=1604500794097&jobListingId=3631460516
60,Affinity Solutions,Data QA Engineer,"San Jose, CA",$48K-$82K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=1061806&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0396cd98&cb=1604500794097&jobListingId=3646436049
61,Next Insurance,"Data Scientist, Machine Learning","Palo Alto, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=230&ao=1091461&s=58&guid=0000017593b3290796c8e52e0de29489&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c0a2d186&cb=1604500794098&jobListingId=3663428736
62,Google,"Data Scientist, Engineering","Mountain View, CA",$118K-$193K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=301&ao=37049&s=58&guid=0000017593b33ce59da8b0e29ca41d57&src=GD_JOB_AD&t=SR&vt=w&cs=1_351ad566&cb=1604500799243&jobListingId=3511711154
63,Spectra Infosystems,Entry Level Data Scientist,"San Mateo, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=302&ao=4134&s=58&guid=0000017593b33ce59da8b0e29ca41d57&src=GD_JOB_AD&t=SR&vt=w&cs=1_56cba005&cb=1604500799243&jobListingId=3721713739
64,PPD,"Senior Scientist - GMP, Method Development , ELISA , Cell-Based Assay","South San Francisco, CA",$46K-$88K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=303&ao=1044074&s=58&guid=0000017593b33ce59da8b0e29ca41d57&src=GD_JOB_AD&t=SR&vt=w&cs=1_7b419ca0&cb=1604500799245&jobListingId=3723331117
65,Apple,Software or Machine Learning Engineer - Entry Level,"Santa Clara, CA",$124K-$194K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=304&ao=191997&s=58&guid=0000017593b33ce59da8b0e29ca41d57&src=GD_JOB_AD&t=SR&vt=w&cs=1_fcfa0bcd&cb=1604500799246&jobListingId=3668657710
66,Facebook,Data Scientist,"Fremont, CA",$108K-$174K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=1139178&s=58&guid=0000017593b33ce59da8b0e29ca41d57&src=GD_JOB_AD&t=SR&vt=w&cs=1_a3de8e3e&cb=1604500799248&jobListingId=3680017675
67,Jazz Pharma,"Associate Director, Clinical Scientist – Transplant/Hematology","Palo Alto, CA",$145K-$250K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=1044074&s=58&guid=0000017593b33ce59da8b0e29ca41d57&src=GD_JOB_AD&t=SR&vt=w&cs=1_f95ab940&cb=1604500799249&jobListingId=3631460516
68,Stockpile,Data Analyst,"Palo Alto, CA",N/A,Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=1115916&s=58&guid=0000017593b33ce59da8b0e29ca41d57&src=GD_JOB_AD&t=SR&vt=w&cs=1_5ffe4223&cb=1604500799250&jobListingId=3699432694
69,Affinity Solutions,Data QA Engineer,"San Jose, CA",$48K-$82K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=308&ao=1061806&s=58&guid=0000017593b33ce59da8b0e29ca41d57&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5ecd20a1&cb=1604500799250&jobListingId=3646436049
70,Natera,"Clinical Data Manager (San Carlos, CA or Remote)","San Carlos, CA",$29K-$55K (Glassdoor est.),Unavailable ATM,https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=883352&s=58&guid=0000017593b33ce59da8b0e29ca41d57&src=GD_JOB_AD&t=SR&vt=w&cs=1_edb25dba&cb=1604500799251&jobListingId=3636956222
